<<<<<<< HEAD
Iteration,RMSE,Complexity,Equation
1,3.1189937847019866,3,PySRFunction(X=>41.206184 + 42.383133)
1,2.9028684665393785,9,PySRFunction(X=>Ba + P + Pentadecane - 1*(-27.718634) - 1*(-27.718634))
1,2.874080369612362,19,PySRFunction(X=>P + (P - Sr + (-0.31148472 + 1.6979012 - (-1)*7.7245107/0.6695997)*13.320597)/2.9454367 - 1*(-1.1446546))
2,3.1189937847019866,3,PySRFunction(X=>41.206184 + 42.383133)
2,2.957476439326885,7,PySRFunction(X=>Cu + 9.931358 + 11.721112 - 1*(-38.613274))
2,2.9028684665393785,9,PySRFunction(X=>Ba + P + Pentadecane - 1*(-27.718634) - 1*(-27.718634))
2,2.8757496932784954,13,PySRFunction(X=>Cr + 0.14582253 - 1*(-92.25277) - (Dibenzofuran - 1*0.14582253 + 0.4489321)/Cl)
2,2.854835092797675,15,PySRFunction(X=>Pentacosane + (-Ethylguaiacol + P + P + 37.066162 + 37.066174 + 37.066833)/1.6908597)
2,2.8505017098764824,17,PySRFunction(X=>Pentacosane + (-Ethylguaiacol + P + 21.364641 + 21.364641 + 22.250341 + 22.250341)/1.6360413 + 22.250341)
2,2.8200434500248543,19,PySRFunction(X=>Pentacosane - SO_4 + (-Ethylguaiacol + Hexacosane + P + P + 30.698483 + 30.699003)/1.837703 + 33.307796)
3,3.1189937847019866,3,PySRFunction(X=>41.206184 + 42.383133)
3,2.877076728842336,5,PySRFunction(X=>Acenaphthylene + P + 64.120476)
3,2.870760800585069,7,PySRFunction(X=>Acenaphthylene + P + Pentacosane + 64.120476)
3,2.8397349750186507,9,PySRFunction(X=>Acenaphthylene - Cl*Isoeugenol + P + 64.120476)
3,2.824701651955304,11,PySRFunction(X=>Acenaphthylene - Cl*Isoeugenol + P + Tricosane + 64.120476)
3,2.8154895270843965,13,PySRFunction(X=>Acenaphthylene - Cl*Isoeugenol + P + Tricosane + 1.2928317 + 65.104744)
3,2.8141251835849417,19,PySRFunction(X=>Acenaphthylene/Tricosane + Heneicosane + P*Phenanthrene*(12.625016 - Coniferylaldehyde)/228.58524 + P + 64.120476)
4,3.1189937847019866,3,PySRFunction(X=>41.206184 + 42.383133)
4,2.877076728842336,5,PySRFunction(X=>Acenaphthylene + P + 64.120476)
4,2.870760800585069,7,PySRFunction(X=>Acenaphthylene + P + Pentacosane + 64.120476)
4,2.822589661349692,9,PySRFunction(X=>-Cl*Isoeugenol + P + Tricosane + 65.104744)
4,2.816172338245856,11,PySRFunction(X=>-Cl*Isoeugenol + Hentriacontane + P + 1.7539785 + 65.104744)
4,2.8154895270843965,13,PySRFunction(X=>Acenaphthylene - Cl*Isoeugenol + P + Tricosane + 1.2928317 + 65.104744)
4,2.8136267724302577,15,PySRFunction(X=>Acenaphthylene - Cl*(Isoeugenol - 0.04424526) + Hentriacontane + P + 1.2928317 + 65.104744)
