Iteration,RMSE,Complexity,Equation
1,4.126379371610925,3,PySRFunction(X=>Silicon*0.040151335)
1,3.118993784699541,5,PySRFunction(X=>26.351482 - 1*(-27.27256) + 29.965248)
1,3.0498778937132403,9,PySRFunction(X=>Na*(-0.89944375 + 0.36590108 - 1*(-0.5455616)) + 70.23782)
1,2.9938962050561386,15,PySRFunction(X=>(-1.5271505 + 0.47092167*(-0.4469014) - 1*0.20338547)*(-0.8487901)*0.011029645*Na + 72.50401)
1,2.9937006143757903,17,PySRFunction(X=>Na*Silicon/(((Silicon + Silicon + Silicon)/0.055465776)) + 23.016806 - 1*(-23.729586) + 25.207487)
1,2.9221329769278945,19,PySRFunction(X=>Na*0.016385822 + 1.8288395 + 5.447537/(0.11340636*0.7560133*0.94530773) + 2.544768/(0.8685889 - Isoeugenol))
2,3.1190171279011234,3,PySRFunction(X=>83.5855 - 1*0.15082598)
2,3.118993784699541,5,PySRFunction(X=>26.351482 - 1*(-27.27256) + 29.965248)
2,2.983398951231924,7,PySRFunction(X=>-0.022712562*Isoeugenol + 43.36346 + 44.66643)
2,2.9745471206023337,9,PySRFunction(X=>1.6858454 + 83.5855 - (Isoeugenol + Isoeugenol)/Na)
2,2.9395114120329504,11,PySRFunction(X=>((-Isoeugenol + Na)*0.0076097804/1.0737922 + 27.972685)*2.64915)
2,2.9339533540449403,13,PySRFunction(X=>(0.956482*(-Isoeugenol + Na)*0.0076097804/1.1562785 + 27.972685)*2.64915)
2,2.9262947664980756,15,PySRFunction(X=>(3.1081429 - 1*0.36210665)*(0.3192196*(-Isoeugenol + Na)*0.023376202/1.3343297 + 27.94331))
2,2.9129527254910093,17,PySRFunction(X=>(-1*4.174477 - 1*(-72.15758) + (-(Isoeugenol + Na) - 39.02678)/((Na*Na/107.58496)))*1.3262916)
3,3.1190171279011234,3,PySRFunction(X=>83.5855 - 1*0.15082598)
3,3.086589587531876,5,PySRFunction(X=>Na/84.29449 + 84.29449)
3,2.983398951231924,7,PySRFunction(X=>-0.022712562*Isoeugenol + 43.36346 + 44.66643)
3,2.9652979271817648,9,PySRFunction(X=>2.3800356 + 84.29449 - (Isoeugenol + Isoeugenol)/Na)
3,2.9395114120329504,11,PySRFunction(X=>((-Isoeugenol + Na)*0.0076097804/1.0737922 + 27.972685)*2.64915)
3,2.9288830755316413,13,PySRFunction(X=>Na/(-5.9536943 + 77.93017) + 78.2303 - (Isoeugenol + Na)/Na)
3,2.891781566779296,15,PySRFunction(X=>(-1*(-72.15758) + (-Isoeugenol - 72.15758)/((Na*Na/(Na + Silicon))))*1.3262916)
3,2.8738364303034176,17,PySRFunction(X=>(-(-72.15758 - 1*(-1.9290378)) + (-Isoeugenol - 72.15758)/((Na*Na/(Na + Silicon))))*1.3262916)
3,2.856687252537347,19,PySRFunction(X=>(-1*(-77.02887) + (-Isoeugenol - 71.07071)/((Na*(Na + 8.4314375)/(Na + Silicon + Silicon))))*1.2211547)
4,3.1190171279011234,3,PySRFunction(X=>83.5855 - 1*0.15082598)
4,3.086589587531876,5,PySRFunction(X=>Na/84.29449 + 84.29449)
4,2.983398951231924,7,PySRFunction(X=>-0.022712562*Isoeugenol + 43.36346 + 44.66643)
4,2.9652979271817648,9,PySRFunction(X=>2.3800356 + 84.29449 - (Isoeugenol + Isoeugenol)/Na)
4,2.935712989733223,11,PySRFunction(X=>-0.016196126*(-Isoeugenol + Na)/(-1.0546719) + 1.1822612 + 72.97869)
