Iteration,RMSE,Complexity,Equation
1,4.2313694982248435,3,PySRFunction(X=>-1.2923357/(-0.0694683))
1,3.7007549472358585,7,PySRFunction(X=>1.5337311 - (-1)*0.85048276/(0.13243587*0.13243587))
1,3.0662935830981572,9,PySRFunction(X=>PC_3 + (PC_3 + 13.7781515)/17.400229 + 82.78355)
1,3.024385851811274,13,PySRFunction(X=>PC_3*(PC_3 + (PC_4*(-12.650307) - 12.685973)/14.349219) + 68.49705)
1,2.9581170808195347,15,PySRFunction(X=>-PC_1 + PC_2 + PC_3 - (-2.2566843 - 1.3466016 - 1.3389598 - 1.2400624)/0.07981074)
1,2.9058838656804555,17,PySRFunction(X=>-PC_1 + PC_2 + PC_3 - (-2.2566843 - 1.3466016 - 1.3389598 - 1.2400624 - 0.5576428)/0.07981074)
1,2.8510590040261294,19,PySRFunction(X=>-PC_1 + PC_2 + PC_2 + PC_3 + PC_3 - (-2.2566843 - 2.2566843 - 1.3466016 - 0.5859495)/0.07981074)
2,3.134287595280694,3,PySRFunction(X=>40.67318 - 1*(-38.928913))
2,3.072771160033867,5,PySRFunction(X=>PC_2 + 39.66006 + 39.660065)
2,3.0169622469215867,7,PySRFunction(X=>PC_2 + PC_3 + 39.66006 + 39.660065)
2,2.9313828364088,9,PySRFunction(X=>-PC_1 + PC_2 + PC_3 + 39.66006 + 39.66006)
2,2.90637346552821,11,PySRFunction(X=>-PC_1 + PC_2 + PC_3 + (33.540207 - 1*(-33.336266))*1.2653501)
2,2.871177378912326,13,PySRFunction(X=>-PC_1 + PC_2 + PC_2 + PC_3 + (33.540207 - 1*(-33.336266))*1.2653501)
2,2.8393893894759463,15,PySRFunction(X=>-PC_1 + PC_2 + PC_2 + PC_3 + PC_3 + (33.540207 - 1*(-33.336266))*1.2653501)
2,2.833232795201176,17,PySRFunction(X=>-PC_1 - PC_1 + PC_2 + PC_2 + PC_3 + PC_3 + (33.540207 - 1*(-33.336266))*1.2653501)
2,2.831384210662,19,PySRFunction(X=>-PC_1 - PC_1 + PC_2 + PC_2 + PC_3 + PC_3 + (-0.83044565 - 1*(-33.336266) + 33.540207)*1.2653501)
3,3.068371404635898,3,PySRFunction(X=>PC_3 - 1*(-83.58828))
3,3.0169622469215867,7,PySRFunction(X=>PC_2 + PC_3 + 39.66006 + 39.660065)
3,2.9313828364088,9,PySRFunction(X=>-PC_1 + PC_2 + PC_3 + 39.66006 + 39.66006)
3,2.90637346552821,11,PySRFunction(X=>-PC_1 + PC_2 + PC_3 + (33.540207 - 1*(-33.336266))*1.2653501)
3,2.871177378912326,13,PySRFunction(X=>-PC_1 + PC_2 + PC_2 + PC_3 + (33.540207 - 1*(-33.336266))*1.2653501)
3,2.8393893894759463,15,PySRFunction(X=>-PC_1 + PC_2 + PC_2 + PC_3 + PC_3 + (33.540207 - 1*(-33.336266))*1.2653501)
3,2.8307749511899547,17,PySRFunction(X=>-PC_1 + PC_2 + PC_2 - (-PC_3 - 0.6627252) - 1*(-38.68735) + 40.67318 - 1.2478588/PC_2)
3,2.8259148222465296,19,PySRFunction(X=>-PC_1 + PC_2 + PC_2 - (-PC_3 - 0.6627252) + 1.1988143 - 1*(-38.68735) + 40.67318 - 1.2478588/PC_2)
4,3.068371404635898,3,PySRFunction(X=>PC_3 - 1*(-83.58828))
4,3.026829963396538,5,PySRFunction(X=>PC_2 + PC_2 + 83.58905)
4,3.0169622469215867,7,PySRFunction(X=>PC_2 + PC_3 + 39.66006 + 39.660065)
4,2.9313828364088,9,PySRFunction(X=>-PC_1 + PC_2 + PC_3 + 39.66006 + 39.66006)
4,2.8697371085365684,11,PySRFunction(X=>-PC_1 + PC_2 + PC_2 + PC_3 - 2.366661 - 1*(-86.36825))
4,2.837562918681812,13,PySRFunction(X=>-PC_1 + PC_2 + PC_2 + PC_3 + PC_3 - 2.573403 - 1*(-86.16239))
4,2.8313836568495647,15,PySRFunction(X=>-PC_1 + PC_2 + PC_2 + PC_3 + PC_3 - (PC_1 - 86.16305) - 2.572441)
4,2.8307749511899547,17,PySRFunction(X=>-PC_1 + PC_2 + PC_2 - (-PC_3 - 0.6627252) - 1*(-38.68735) + 40.67318 - 1.2478588/PC_2)
4,2.8225233981079225,19,PySRFunction(X=>PC_2 + 0.8199191*(-PC_1 - PC_1 + PC_2 - (PC_3 - 3.623176*(PC_3 - 1*(-28.38845)))) - 1*0.7425813)
5,3.0528508244512578,3,PySRFunction(X=>PC_2 + 83.58905)
5,2.973694781628354,5,PySRFunction(X=>-PC_1 + PC_2 + 83.58905)
5,2.9047763675119223,7,PySRFunction(X=>-PC_1 + PC_2 + PC_3 + 83.58916)
5,2.8694636065605525,9,PySRFunction(X=>-PC_1 + PC_2 + PC_2 + PC_3 + 83.58905)
5,2.8375629186302405,11,PySRFunction(X=>-PC_1 + PC_2 + PC_2 + PC_3 + PC_3 + 83.58905)
5,2.837562918681812,13,PySRFunction(X=>-PC_1 + PC_2 + PC_2 + PC_3 + PC_3 - 2.573403 - 1*(-86.16239))
5,2.8313836568495647,15,PySRFunction(X=>-PC_1 + PC_2 + PC_2 + PC_3 + PC_3 - (PC_1 - 86.16305) - 2.572441)
5,2.8202145479615783,17,PySRFunction(X=>PC_2 - (-2.1386)*PC_3 - (-(-PC_1/0.6420091 + PC_2) - 3.2280202) + 40.180725 + 40.18074)
6,3.0528508244512578,3,PySRFunction(X=>PC_2 + 83.58905)
6,2.973694781628354,5,PySRFunction(X=>-PC_1 + PC_2 + 83.58905)
6,2.9047763675119223,7,PySRFunction(X=>-PC_1 + PC_2 + PC_3 + 83.58916)
6,2.8694636065605525,9,PySRFunction(X=>-PC_1 + PC_2 + PC_2 + PC_3 + 83.58905)
6,2.8375629186302405,11,PySRFunction(X=>-PC_1 + PC_2 + PC_2 + PC_3 + PC_3 + 83.58905)
6,2.828852697054386,13,PySRFunction(X=>(PC_3 - (PC_1 - PC_2 - 39.49281) + 2.270732 + 3.1194057)/0.5345781)
6,2.8202145479615783,17,PySRFunction(X=>PC_2 - (-2.1386)*PC_3 - (-(-PC_1/0.6420091 + PC_2) - 3.2280202) + 40.180725 + 40.18074)
7,3.0528508244512578,3,PySRFunction(X=>PC_2 + 83.58905)
7,2.973694781628354,5,PySRFunction(X=>-PC_1 + PC_2 + 83.58905)
7,2.9047763675119223,7,PySRFunction(X=>-PC_1 + PC_2 + PC_3 + 83.58916)
7,2.8694636065605525,9,PySRFunction(X=>-PC_1 + PC_2 + PC_2 + PC_3 + 83.58905)
7,2.8375629186302405,11,PySRFunction(X=>-PC_1 + PC_2 + PC_2 + PC_3 + PC_3 + 83.58905)
7,2.828852697054386,13,PySRFunction(X=>(PC_3 - (PC_1 - PC_2 - 39.49281) + 2.270732 + 3.1194057)/0.5345781)
7,2.8261925906124583,15,PySRFunction(X=>-PC_1 - 0.69802254*PC_1 + PC_2 + PC_2 - (-1)*2.257931*(PC_3 - 1*(-36.3115)))
7,2.8202145479615783,17,PySRFunction(X=>PC_2 - (-2.1386)*PC_3 - (-(-PC_1/0.6420091 + PC_2) - 3.2280202) + 40.180725 + 40.18074)
8,3.0528508244512578,3,PySRFunction(X=>PC_2 + 83.58905)
8,2.973694781628354,5,PySRFunction(X=>-PC_1 + PC_2 + 83.58905)
8,2.9047763675119223,7,PySRFunction(X=>-PC_1 + PC_2 + PC_3 + 83.58916)
8,2.8694636065605525,9,PySRFunction(X=>-PC_1 + PC_2 + PC_2 + PC_3 + 83.58905)
8,2.8375629186302405,11,PySRFunction(X=>-PC_1 + PC_2 + PC_2 + PC_3 + PC_3 + 83.58905)
8,2.828852697054386,13,PySRFunction(X=>(PC_3 - (PC_1 - PC_2 - 39.49281) + 2.270732 + 3.1194057)/0.5345781)
8,2.8261925906124583,15,PySRFunction(X=>-PC_1 - 0.69802254*PC_1 + PC_2 + PC_2 - (-1)*2.257931*(PC_3 - 1*(-36.3115)))
8,2.8202145479615783,17,PySRFunction(X=>PC_2 - (-2.1386)*PC_3 - (-(-PC_1/0.6420091 + PC_2) - 3.2280202) + 40.180725 + 40.18074)
8,2.8194004328835205,19,PySRFunction(X=>PC_3 + PC_3 - (PC_1 + (PC_2 + 1.1869521)*(PC_3/(PC_2 - 1*0.5436213) - 1.9840009)) + 77.55513)
9,3.0528508244512578,3,PySRFunction(X=>PC_2 + 83.58905)
9,2.973694781628354,5,PySRFunction(X=>-PC_1 + PC_2 + 83.58905)
9,2.9047763675119223,7,PySRFunction(X=>-PC_1 + PC_2 + PC_3 + 83.58916)
9,2.8694636065605525,9,PySRFunction(X=>-PC_1 + PC_2 + PC_2 + PC_3 + 83.58905)
9,2.8371144664085355,11,PySRFunction(X=>PC_2 + 2.1207142*PC_3 - (PC_1 - PC_2) - 1*(-83.43905))
9,2.828852697054386,13,PySRFunction(X=>(PC_3 - (PC_1 - PC_2 - 39.49281) + 2.270732 + 3.1194057)/0.5345781)
9,2.8261925906124583,15,PySRFunction(X=>-PC_1 - 0.69802254*PC_1 + PC_2 + PC_2 - (-1)*2.257931*(PC_3 - 1*(-36.3115)))
9,2.8202145479615783,17,PySRFunction(X=>PC_2 - (-2.1386)*PC_3 - (-(-PC_1/0.6420091 + PC_2) - 3.2280202) + 40.180725 + 40.18074)
9,2.8194004328835205,19,PySRFunction(X=>PC_3 + PC_3 - (PC_1 + (PC_2 + 1.1869521)*(PC_3/(PC_2 - 1*0.5436213) - 1.9840009)) + 77.55513)
10,3.0528508244512578,3,PySRFunction(X=>PC_2 + 83.58905)
10,2.9736947815759516,5,PySRFunction(X=>-PC_1 + PC_2 + 83.58931)
10,2.9047763675119223,7,PySRFunction(X=>-PC_1 + PC_2 + PC_3 + 83.58916)
10,2.8694636065605525,9,PySRFunction(X=>-PC_1 + PC_2 + PC_2 + PC_3 + 83.58905)
10,2.8371144664085355,11,PySRFunction(X=>PC_2 + 2.1207142*PC_3 - (PC_1 - PC_2) - 1*(-83.43905))
10,2.828852697054386,13,PySRFunction(X=>(PC_3 - (PC_1 - PC_2 - 39.49281) + 2.270732 + 3.1194057)/0.5345781)
10,2.8258861916005853,15,PySRFunction(X=>PC_2 + PC_3*2.1207142 + (0.44910094 - (PC_1 - PC_2))*1.3704911 - 1*(-83.43905))
10,2.8202145479615783,17,PySRFunction(X=>PC_2 - (-2.1386)*PC_3 - (-(-PC_1/0.6420091 + PC_2) - 3.2280202) + 40.180725 + 40.18074)
10,2.8194004328835205,19,PySRFunction(X=>PC_3 + PC_3 - (PC_1 + (PC_2 + 1.1869521)*(PC_3/(PC_2 - 1*0.5436213) - 1.9840009)) + 77.55513)
11,3.0528508244512578,3,PySRFunction(X=>PC_2 + 83.58905)
