chem,var_importance
P,1948.3711268811062
Acenaphthylene,1858.8356895017607
Cr,809.2493579975147
var26_Dimethylnaphthalene,444.51537948389176
Benzoapyrene,425.59302301520324
Triacontane,299.0514659278072
Silicon,290.8443615191283
Benzaanthracene,251.9000472862602
Cl,193.61226
Naphthalene,183.734383518757
Fluorene,150.919943710135
Tricosane,143.4465549779554
Anthracene,102.35571969447977
Methylfluorene,67.8336778852572
Ca,63.90942790946958
Na,32.85304759953873
Hentriacontane,28.517220938846894
Ba,22.71376953086835
var2_Methylnaphthalene,22.446322313745398
Dodecylcyclohexane,22.446322313745398
Sb,15.885102235404615
Pentadecane,12.627956717678298
var2_Methylnonadecane,11.9686868034636
Heptacosane,8.036879186122844
Levoglucosan,7.0
Heneicosane,5.979552261640343
Phenanthrene,3.44353814627431
SO_4,3.0742163315123694
Hexacosane,2.777047630065294
Docosane,2.4576410370324653
Al,2.0
Nonacosane,2.0
Fluoranthene,2.0
Syringealdehyde,2.0
Tetracosane,2.0
Sulphur,1.4800393394746643
Cd,1.0
Octacosane,0.9999999999999998
Squalane,0.87445396
Zn,0.3062043336827596
Ni,0.0
Hexadecane,-0.3839200127048826
Sr,-1.2772521592044053
Retene,-1.9855504994961208
Eicosane,-3.0228277
Nonadecylcyclohexane,-3.1347616000000005
Phytane,-3.1817386000000005
Guaiacol,-5.7072145542010455
Coniferylaldehyde,-9.4124014
Heptadecane,-13.113447375678176
var3_Methylnonadecane,-22.026309926804892
Vanillin,-30.95408699265424
var35_Dimethoxyphenol,-54.678489478177404
Isoeugenol,-57.73389999999999
Propylguaiacol,-101.75524836528199
Ethylguaiacol,-171.0788696272258
Dibenzofuran,-198.69776653316907
Eugenol,-404.1002825750456
