complexity,loss,score,equation,sympy_format,lambda_format
1,85.85114,0.0,0.772641,0.772641000000000,PySRFunction(X=>0.772641000000000)
2,79.38702,0.0782799874113842,Trappc_6_b_65552,Trappc_6_b_65552,PySRFunction(X=>Trappc_6_b_65552)
3,22.623602,1.2553411811972348,42.427464 + 41.16205,41.16205 + 42.427464,PySRFunction(X=>41.16205 + 42.427464)
4,21.801086,0.03703391255365363,77.366615 + Cyp_1_a_1_79654,Cyp_1_a_1_79654 + 77.366615,PySRFunction(X=>Cyp_1_a_1_79654 + 77.366615)
6,19.740232,0.04965049917275536,(Mt_2_76492 / 0.11212675) - -0.59834,Mt_2_76492/0.11212675 - 1*(-0.59834),PySRFunction(X=>Mt_2_76492/0.11212675 - 1*(-0.59834))
7,19.412819,0.016725165671820846,(Mt_2_76492 / 0.10327444) - mtNd_3_82089,Mt_2_76492/0.10327444 - mtNd_3_82089,PySRFunction(X=>Mt_2_76492/0.10327444 - mtNd_3_82089)
9,18.514137,0.023699509313739178,((Cyp_1_a_1_29719 - -8.852688) * Csrnp_1_69505) + -0.22419596,Csrnp_1_69505*(Cyp_1_a_1_29719 - 1*(-8.852688)) - 0.22419596,PySRFunction(X=>Csrnp_1_69505*(Cyp_1_a_1_29719 - 1*(-8.852688)) - 0.22419596)
10,18.428782,0.004620920825525992,((Cyp_1_a_1_29719 - -8.852688) * Csrnp_1_69505) + Il_6_60343,Csrnp_1_69505*(Cyp_1_a_1_29719 - 1*(-8.852688)) + Il_6_60343,PySRFunction(X=>Csrnp_1_69505*(Cyp_1_a_1_29719 - 1*(-8.852688)) + Il_6_60343)
11,17.56445,0.048036708638832866,-2.7108104 + ((Tspan_4_30708 * 9.733514) + (9.733514 * Myc_30907)),9.733514*Myc_30907 + Tspan_4_30708*9.733514 - 2.7108104,PySRFunction(X=>9.733514*Myc_30907 + Tspan_4_30708*9.733514 - 2.7108104)
12,16.600508,0.05644367565494283,(-13.635784 + (Mt_2_76492 * (Cyp_1_b_1_72511 + Kbtbd_7_76521))) + 0.524117,Mt_2_76492*(Cyp_1_b_1_72511 + Kbtbd_7_76521) - 13.635784 + 0.524117,PySRFunction(X=>Mt_2_76492*(Cyp_1_b_1_72511 + Kbtbd_7_76521) - 13.635784 + 0.524117)
13,16.46048,0.008470940876271342,((Cyp_1_a_1_29719 * Myc_30907) + (Ccl_6_74906 * Stx_11_69405)) - 23.691692,Ccl_6_74906*Stx_11_69405 + Cyp_1_a_1_29719*Myc_30907 - 1*23.691692,PySRFunction(X=>Ccl_6_74906*Stx_11_69405 + Cyp_1_a_1_29719*Myc_30907 - 1*23.691692)
14,15.059298,0.08896674868813505,(-57.744526 + ((Cyp_1_a_1_79654 * Cxcl_10_29431) + (22.179237 * Csrnp_1_69505))) + -19.889147,22.179237*Csrnp_1_69505 + Cxcl_10_29431*Cyp_1_a_1_79654 - 57.744526 - 19.889147,PySRFunction(X=>22.179237*Csrnp_1_69505 + Cxcl_10_29431*Cyp_1_a_1_79654 - 57.744526 - 19.889147)
15,14.621446,0.02950625269993527,(Mt_2_76492 * ((Kbtbd_7_76521 + Cyp_1_b_1_72511) - (Gm_21190_82342 - 2.4861026))) - -1.3973408,Mt_2_76492*(Cyp_1_b_1_72511 + Kbtbd_7_76521 - (Gm_21190_82342 - 1*2.4861026)) - 1*(-1.3973408),PySRFunction(X=>Mt_2_76492*(Cyp_1_b_1_72511 + Kbtbd_7_76521 - (Gm_21190_82342 - 1*2.4861026)) - 1*(-1.3973408))
16,14.573158,0.003308011578741499,(((Cyp_1_a_1_79654 - Tacr_1_72530) * Zfp_820_56096) + (Mt_2_76492 / 0.12617444)) - Kdm_6_a_65647,-Kdm_6_a_65647 + Mt_2_76492/0.12617444 + Zfp_820_56096*(Cyp_1_a_1_79654 - Tacr_1_72530),PySRFunction(X=>-Kdm_6_a_65647 + Mt_2_76492/0.12617444 + Zfp_820_56096*(Cyp_1_a_1_79654 - Tacr_1_72530))
17,13.539629,0.07356047664749592,(Cyp_1_b_1_72511 * (Cebpd_68861 - (((-1.1647183 * Alg_11_64834) + Asb_14_29409) / 0.5116758))) + 2.645758,Cyp_1_b_1_72511*(Cebpd_68861 - (-1.1647183*Alg_11_64834 + Asb_14_29409)/0.5116758) + 2.645758,PySRFunction(X=>Cyp_1_b_1_72511*(Cebpd_68861 - (-1.1647183*Alg_11_64834 + Asb_14_29409)/0.5116758) + 2.645758)
18,13.431404,0.008025319672315604,((Cebpd_68861 - (((Alg_11_64834 * -1.1647183) + Asb_14_29409) / 0.5116758)) * Cyp_1_b_1_72511) + Tgm_1_60333,Cyp_1_b_1_72511*(Cebpd_68861 - (Alg_11_64834*(-1.1647183) + Asb_14_29409)/0.5116758) + Tgm_1_60333,PySRFunction(X=>Cyp_1_b_1_72511*(Cebpd_68861 - (Alg_11_64834*(-1.1647183) + Asb_14_29409)/0.5116758) + Tgm_1_60333)
20,13.316056,0.0043125109849773005,(Nppa_58684 + (Cyp_1_b_1_72511 * (Cebpd_68861 - (((Alg_11_64834 * -1.1647183) + Asb_14_29409) / 0.5116758)))) + -0.23166908,Cyp_1_b_1_72511*(Cebpd_68861 - (Alg_11_64834*(-1.1647183) + Asb_14_29409)/0.5116758) + Nppa_58684 - 0.23166908,PySRFunction(X=>Cyp_1_b_1_72511*(Cebpd_68861 - (Alg_11_64834*(-1.1647183) + Asb_14_29409)/0.5116758) + Nppa_58684 - 0.23166908)
