Equation
90.2*(-0.411*PC4 - 1.65)*(0.018*PC1 - 0.092*PC2 + exp(-0.355*(-PC4 - 0.564)**2 - 1.44/(0.445*PC2 + 1)**2) - 0.414) + 56.4
832.0*exp(-0.506*(0.146*PC2 - 1)**2 - 2.0*exp(2*exp(-0.0705*(0.18 - PC3)**2 - 1.71*(-PC4 - 0.992)**2*(0.103*PC2 - 0.51*PC4 - 1)**2))) + 45.8
98.4*exp(-2.0*(0.095*PC1 + exp(-0.0813*(0.242*PC3 + 1)**2 - 0.692*(-PC4 - 0.66)**2) + 0.415)**2 - 2.0*exp(-7.81*(-0.198*PC2 - 1)**2 - 3.55*(-0.168*PC2 - 1)**2)) + 45.5
151.0*exp(-0.817*(1 - 0.095*PC2)**2 - 0.993*(-0.805*PC2 - 1)**2*exp(-0.219*(1 - 0.302*PC1)**2 - 1.45*(0.0667*PC1 - 1)**2*(PC4 + 0.515)**2)) + 45.3
154.0*exp(-0.0312*(1 - 0.774*PC2)**2 - 2.0*(0.807*(-0.0195*PC1 - 1)**2 + exp(-0.099*(-PC1 - 0.152)**2 - 1.56*(PC4 + 0.394)**2))**4) + 45.5
93.1*(0.0711*PC1 + 0.91*exp(-0.922*(1 - 0.112*PC2)**2 - 1.04*(PC4 + 0.495)**2) - 1)**2 + 1.63
125.0*exp(-0.504*(1 - 0.155*PC2)**2 - 2.0*(0.117*PC3 + (0.138 - 0.175*PC2)*(-0.0856*PC1 - 1.32) + tanh(1.06*PC4 - 1.52) + 0.06)**2) + 45.8
170.0 - 145.0*exp(-0.057*(-0.317*PC3 - 1)**2 - 2.0*exp(-1.06*(0.127*PC1 + 1)**2 - 4.0*exp(-0.295*(-0.426*PC1 - 1)**2 - 1.62*(-PC4 - 0.79)**2)))
69.2*(0.0479*PC4 - 1.72)*(0.0508*PC1 - 0.0797*PC3 + exp(-0.0862*(PC2 + 0.527)**2 - 1.35*(-PC4 - 0.641)**2) - 0.531) + 45.7
400.0*exp(-2.0*exp(-0.00618*(1 - 0.358*PC1)**2 - 0.12*(0.787*PC3 - 1)**2) - 2.0*tanh(0.46*PC4 - 0.978)**2) + 25.7
