complexity,loss,score,equation,sympy_format,lambda_format
1,21.348747,0.0,76.77334,76.7733400000000,PySRFunction(X=>76.7733400000000)
3,16.03692,0.14304974268887594,P + 58.105827,P + 58.105827,PySRFunction(X=>P + 58.105827)
5,13.750467,0.07691038843892996,(Ni / Pentadecane) + 63.175877,Ni/Pentadecane + 63.175877,PySRFunction(X=>Ni/Pentadecane + 63.175877)
7,12.237765,0.05827306240014001,((Pb / Pentadecane) * P) - -59.46392,P*Pb/Pentadecane - 1*(-59.46392),PySRFunction(X=>P*Pb/Pentadecane - 1*(-59.46392))
9,11.8816395,0.014766176454364838,(((Pyrene + Ni) + Triacontane) / Pentadecane) + 57.563297,57.563297 + (Ni + Pyrene + Triacontane)/Pentadecane,PySRFunction(X=>57.563297 + (Ni + Pyrene + Triacontane)/Pentadecane)
11,11.06536,0.03558740073454397,66.3011 + ((Ni - (0.3257761 / (0.2690123 - Acenaphthylene))) / Pentadecane),66.3011 + (Ni - 0.3257761/(0.2690123 - Acenaphthylene))/Pentadecane,PySRFunction(X=>66.3011 + (Ni - 0.3257761/(0.2690123 - Acenaphthylene))/Pentadecane)
13,10.875097,0.008672005759448145,(((Anthracene + Ni) - (var1_Methylnaphthalene / (Docosane - Acenaphthylene))) / Pentadecane) - -64.673775,-1*(-64.673775) + (Anthracene + Ni - var1_Methylnaphthalene/(-Acenaphthylene + Docosane))/Pentadecane,PySRFunction(X=>-1*(-64.673775) + (Anthracene + Ni - var1_Methylnaphthalene/(-Acenaphthylene + Docosane))/Pentadecane)
15,10.714158,0.007454726032622782,((((Ni - Docosane) + Acenaphthylene) - (var1_Methylnaphthalene / (Docosane - Acenaphthylene))) / Pentadecane) + 65.610985,65.610985 + (Acenaphthylene - Docosane + Ni - var1_Methylnaphthalene/(-Acenaphthylene + Docosane))/Pentadecane,PySRFunction(X=>65.610985 + (Acenaphthylene - Docosane + Ni - var1_Methylnaphthalene/(-Acenaphthylene + Docosane))/Pentadecane)
17,10.647611,0.003115248333335671,67.018936 + ((((Ni - (2.4324625 * Heptadecane)) + Acenaphthylene) - (var1_Methylnaphthalene / (Docosane - Acenaphthylene))) / Pentadecane),67.018936 + (Acenaphthylene - 2.4324625*Heptadecane + Ni - var1_Methylnaphthalene/(-Acenaphthylene + Docosane))/Pentadecane,PySRFunction(X=>67.018936 + (Acenaphthylene - 2.4324625*Heptadecane + Ni - var1_Methylnaphthalene/(-Acenaphthylene + Docosane))/Pentadecane)
19,10.624863,0.0010693635667891762,((((Ni - (Docosane + Heptadecane)) + Acenaphthylene) - (var1_Methylnaphthalene / ((Docosane / 1.047638) - Acenaphthylene))) / Pentadecane) + 67.431946,67.431946 + (Acenaphthylene + Ni - var1_Methylnaphthalene/(-Acenaphthylene + Docosane/1.047638) - (Docosane + Heptadecane))/Pentadecane,PySRFunction(X=>67.431946 + (Acenaphthylene + Ni - var1_Methylnaphthalene/(-Acenaphthylene + Docosane/1.047638) - (Docosane + Heptadecane))/Pentadecane)
