complexity,loss,score,equation,sympy_format,lambda_format
1,21.348747,0.0,76.773544,76.7735440000000,PySRFunction(X=>76.7735440000000)
3,16.03692,0.14304974268887594,58.105827 + P,P + 58.105827,PySRFunction(X=>P + 58.105827)
5,15.9883995,0.001515068011269884,(P + 51.340137) * 1.0966419,(P + 51.340137)*1.0966419,PySRFunction(X=>(P + 51.340137)*1.0966419)
7,13.783045,0.07421210721450391,P - (-51.392273 - (Silicon / Zn)),P - (-Silicon/Zn - 51.392273),PySRFunction(X=>P - (-Silicon/Zn - 51.392273))
9,12.616387,0.0442213445376678,((P + (-0.12889118 * Zn)) - -53.030224) + P,P + P - 0.12889118*Zn - 1*(-53.030224),PySRFunction(X=>P + P - 0.12889118*Zn - 1*(-53.030224))
11,12.207653,0.01646673718465493,((P - (80.11086 / (Silicon / Zn))) - -38.250324) - -37.9564,P - 1*(-37.9564) - 1*(-38.250324) - 80.11086/(Silicon/Zn),PySRFunction(X=>P - 1*(-37.9564) - 1*(-38.250324) - 80.11086/(Silicon/Zn))
13,12.106934,0.004142351917435956,((1.4596884 * P) - (-45.459312 - (Silicon / Zn))) - (Zn / Levoglucosan),1.4596884*P - (-Silicon/Zn - 45.459312) - Zn/Levoglucosan,PySRFunction(X=>1.4596884*P - (-Silicon/Zn - 45.459312) - Zn/Levoglucosan)
15,11.515418,0.025045756613773777,((1.4596884 * P) - (-45.459312 - (Silicon / Zn))) - ((Zn * 1.7536542) / Levoglucosan),1.4596884*P - (-Silicon/Zn - 45.459312) - 1.7536542*Zn/Levoglucosan,PySRFunction(X=>1.4596884*P - (-Silicon/Zn - 45.459312) - 1.7536542*Zn/Levoglucosan)
17,11.222888,0.012865784306743873,((P * 1.4528421) - (-45.852085 - (Silicon / (0.7895723 * Zn)))) - ((Zn * 1.7690239) / Levoglucosan),P*1.4528421 - (-Silicon/(0.7895723*Zn) - 45.852085) - 1.7690239*Zn/Levoglucosan,PySRFunction(X=>P*1.4528421 - (-Silicon/(0.7895723*Zn) - 45.852085) - 1.7690239*Zn/Levoglucosan)
19,11.219941,0.0001313114321254633,((1.453195 * P) - (-45.58496 - (Silicon / (0.78962266 * Zn)))) - (((Zn * 1.7696762) / Levoglucosan) - 0.5188455),1.453195*P - (-1*0.5188455 + Zn*1.7696762/Levoglucosan) - (-Silicon/(0.78962266*Zn) - 45.58496),PySRFunction(X=>1.453195*P - (-1*0.5188455 + Zn*1.7696762/Levoglucosan) - (-Silicon/(0.78962266*Zn) - 45.58496))
