complexity,loss,score,equation,sympy_format,lambda_format
1,21.348747,0.0,76.772606,76.7726060000000,PySRFunction(X=>76.7726060000000)
3,18.998857,0.05830711498282982,76.774376 - PC_1,76.774376 - PC_1,PySRFunction(X=>76.774376 - PC_1)
5,16.782635,0.062017049285089616,(76.771675 - PC_1) + PC_3,-PC_1 + PC_3 + 76.771675,PySRFunction(X=>-PC_1 + PC_3 + 76.771675)
7,13.994261,0.09084870194591066,76.772514 - ((PC_1 - PC_3) / 0.42540002),76.772514 - (PC_1 - PC_3)/0.42540002,PySRFunction(X=>76.772514 - (PC_1 - PC_3)/0.42540002)
9,13.456834,0.019580117952125314,76.77098 - (((PC_1 - PC_3) / 0.42544055) - PC_2),76.77098 - (-PC_2 + (PC_1 - PC_3)/0.42544055),PySRFunction(X=>76.77098 - (-PC_2 + (PC_1 - PC_3)/0.42544055))
11,12.642965,0.03119307355013314,70.04818 - (PC_1 - (PC_3 / ((0.7195472 - PC_4) * 0.21546735))),70.04818 - (PC_1 - PC_3/((0.7195472 - PC_4)*0.21546735)),PySRFunction(X=>70.04818 - (PC_1 - PC_3/((0.7195472 - PC_4)*0.21546735)))
13,11.79099,0.03488262675296859,70.308044 - ((PC_1 * 1.8227565) - (PC_3 / ((0.6834639 - PC_4) * 0.22422995))),70.308044 - (PC_1*1.8227565 - PC_3/((0.6834639 - PC_4)*0.22422995)),PySRFunction(X=>70.308044 - (PC_1*1.8227565 - PC_3/((0.6834639 - PC_4)*0.22422995)))
15,11.164441,0.027300931812588487,70.37233 - (((PC_1 * 1.8340677) - PC_2) - (PC_3 / ((0.66454947 - PC_4) * 0.22699207))),70.37233 - (PC_1*1.8340677 - PC_2 - PC_3/((0.66454947 - PC_4)*0.22699207)),PySRFunction(X=>70.37233 - (PC_1*1.8340677 - PC_2 - PC_3/((0.66454947 - PC_4)*0.22699207)))
17,10.966673,0.00893643512693236,69.68724 - ((PC_4 + (PC_1 * (1.3401548 - PC_4))) - (PC_3 / ((0.7574314 - PC_4) * 0.20620002))),69.68724 - (PC_1*(1.3401548 - PC_4) - PC_3/((0.7574314 - PC_4)*0.20620002) + PC_4),PySRFunction(X=>69.68724 - (PC_1*(1.3401548 - PC_4) - PC_3/((0.7574314 - PC_4)*0.20620002) + PC_4))
19,10.869924,0.004430618611151958,70.73162 - (((PC_4 / PC_1) + ((1.3623455 - PC_4) * PC_1)) - (PC_3 / ((0.73890764 - PC_4) * 0.21461506))),70.73162 - (PC_1*(1.3623455 - PC_4) - PC_3/((0.73890764 - PC_4)*0.21461506) + PC_4/PC_1),PySRFunction(X=>70.73162 - (PC_1*(1.3623455 - PC_4) - PC_3/((0.73890764 - PC_4)*0.21461506) + PC_4/PC_1))
